Service Area,Account Description,Creditor,Journal Date,Journal Reference,Total
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5795,3.67
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5796,21.99
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5694,5.55
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5695,3.3
Children's Family Services,Books-CDs-Audio-Video,Amazon Svcs EuropeS,21/05/2015,5696,2.81
Children's Family Services,Equipment and Materials Purcha,Amazon Svcs EuropeS,21/05/2015,5809,27.2
Children's Family Services,Equipment and Materials Purcha,Amazon Svcs EuropeS,21/05/2015,5712,44.95
Children's Family Services,Equipment and Materials Purcha,Amazon UK Marketpla,21/05/2015,5704,1.75
Adults and Communities,Training,AMAZON UK MARKETPLACE,09/02/2016,7016,15.98
Adults and Communities,Training,AMAZON UK MARKETPLACE,10/02/2016,7035,46.45
Adults and Communities,Training,AMAZON UK MARKETPLACE,19/08/2015,5065,77
Children's Education & Skills,Consumable Catering Supplies,AMAZON UK MARKETPLACE,29/12/2015,6546,61.8
Children's Education & Skills,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,14/01/2016,6668,45.41
Children's Education & Skills,Equipment and Materials Purcha,AMAZON UK MARKETPLACE,29/10/2015,5807,10.25
